"REF_DATE","GEO","DGUID","Indoor air quality","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Canada","2016A000011124","Rated indoor air quality as excellent, very good or good","Percent","239","units ","0","v95650302","1.1","91","","","","0"
"2013","Canada","2016A000011124","Rated indoor air quality as excellent","Percent","239","units ","0","v95650303","1.2","21","","","","0"
"2013","Canada","2016A000011124","Rated indoor air quality as very good","Percent","239","units ","0","v95650304","1.3","39","","","","0"
"2013","Canada","2016A000011124","Rated indoor air quality as good","Percent","239","units ","0","v95650305","1.4","31","","","","0"
"2013","Canada","2016A000011124","Rated indoor air quality as fair or poor","Percent","239","units ","0","v95650306","1.5","7","","","","0"
"2013","Canada","2016A000011124","Rated indoor air quality as fair","Percent","239","units ","0","v95650307","1.6","6","","","","0"
"2013","Canada","2016A000011124","Rated indoor air quality as poor","Percent","239","units ","0","v95650308","1.7","1","","","","0"
"2013","Canada","2016A000011124","A member of the household may have had health problems caused by the quality of the air in the dwelling in the previous 12 months","Percent","239","units ","0","v95650309","1.8","5","","","","0"
"2013","Canada","2016A000011124","A member of the household may have had health problems caused by the quality of the air in the dwelling in the previous 12 months and indoor air quality rated as excellent, very good or good","Percent","239","units ","0","v95709202","1.33","55","","","","0"
"2013","Canada","2016A000011124","A member of the household may have had health problems caused by the quality of the air in the dwelling in the previous 12 months and indoor air quality rated as excellent","Percent","239","units ","0","v95709203","1.34","4","E","","","0"
"2013","Canada","2016A000011124","A member of the household may have had health problems caused by the quality of the air in the dwelling in the previous 12 months and indoor air quality rated as very good","Percent","239","units ","0","v95709204","1.35","18","","","","0"
"2013","Canada","2016A000011124","A member of the household may have had health problems caused by the quality of the air in the dwelling in the previous 12 months and indoor air quality rated as good","Percent","239","units ","0","v95709205","1.36","33","","","","0"
"2013","Canada","2016A000011124","A member of the household may have had health problems caused by the quality of the air in the dwelling in the previous 12 months and indoor air quality rated as fair or poor","Percent","239","units ","0","v95709206","1.37","45","","","","0"
"2013","Canada","2016A000011124","A member of the household may have had health problems caused by the quality of the air in the dwelling in the previous 12 months and indoor air quality rated as fair","Percent","239","units ","0","v95709207","1.38","29","","","","0"
"2013","Canada","2016A000011124","A member of the household may have had health problems caused by the quality of the air in the dwelling in the previous 12 months and indoor air quality rated as poor","Percent","239","units ","0","v95709208","1.39","15","E","","","0"
"2013","Canada","2016A000011124","No members of the household believed to have had health problems caused by the quality of the air in the dwelling in the previous 12 months","Percent","239","units ","0","v95650310","1.9","93","","","","0"
"2013","Canada","2016A000011124","Condensation other than moisture from showers or cooking noticed on the inside surfaces of windows during the previous 12 months","Percent","239","units ","0","v95650311","1.10","21","","","","0"
"2013","Canada","2016A000011124","Mold or mildew noticed in the dwelling during the previous 12 months","Percent","239","units ","0","v95650312","1.11","12","","","","0"
"2013","Canada","2016A000011124","Opened windows more often to increase air circulation to improve air quality","Percent","239","units ","0","v95650313","1.12","91","","","","0"
"2013","Canada","2016A000011124","Opened windows during the winter season","Percent","239","units ","0","v95650314","1.13","87","","","","0"
"2013","Canada","2016A000011124","Opened windows during the winter season, every day","Percent","239","units ","0","v95650315","1.14","32","","","","0"
"2013","Canada","2016A000011124","Opened windows during the winter season, at least once a week","Percent","239","units ","0","v95650316","1.15","30","","","","0"
"2013","Canada","2016A000011124","Opened windows during the winter season, a few times during the season","Percent","239","units ","0","v95650317","1.16","25","","","","0"
"2013","Canada","2016A000011124","Never opened windows during the winter season","Percent","239","units ","0","v95650318","1.17","12","","","","0"
"2013","Canada","2016A000011124","Opened windows during the summer season","Percent","239","units ","0","v95650319","1.18","99","","","","0"
