"REF_DATE","GEO","DGUID","Sector","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Canada","2021A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","763238","","","","0"
"2009","Canada","2021A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","634386","","","","0"
"2009","Canada","2021A000011124","Crop and animal production [BS11A00]","Kilotonnes","198","units","0","v79874997","1.3","63874","","","","0"
"2009","Canada","2021A000011124","Forestry and logging [BS11300]","Kilotonnes","198","units","0","v79874998","1.4","5329","","","","0"
"2009","Canada","2021A000011124","Fishing, hunting and trapping [BS11400]","Kilotonnes","198","units","0","v79874999","1.5","648","","","","0"
"2009","Canada","2021A000011124","Support activities for agriculture and forestry [BS11500]","Kilotonnes","198","units","0","v79875000","1.6","965","","","","0"
"2009","Canada","2021A000011124","Oil and gas extraction [BS21100]","Kilotonnes","198","units","0","v79875001","1.7","167245","","","","0"
"2009","Canada","2021A000011124","Coal mining [BS21210]","Kilotonnes","198","units","0","v79875002","1.8","2254","","","","0"
"2009","Canada","2021A000011124","Metal ore mining [BS21220]","Kilotonnes","198","units","0","v79875003","1.9","3419","","","","0"
"2009","Canada","2021A000011124","Non-metallic mineral mining and quarrying [BS21230]","Kilotonnes","198","units","0","v79875004","1.10","2101","","","","0"
"2009","Canada","2021A000011124","Support activities for mining and oil and gas extraction [BS21300]","Kilotonnes","198","units","0","v79875005","1.11","6720","","","","0"
"2009","Canada","2021A000011124","Electric power generation, transmission and distribution [BS22110]","Kilotonnes","198","units","0","v79875006","1.12","105298","","","","0"
"2009","Canada","2021A000011124","Natural gas distribution, water, sewage and other systems [BS221A0]","Kilotonnes","198","units","0","v79875007","1.13","2587","","","","0"
"2009","Canada","2021A000011124","Residential building construction [BS23A00]","Kilotonnes","198","units","0","v79875008","1.14","1561","","","","0"
"2009","Canada","2021A000011124","Non-residential building construction [BS23B00]","Kilotonnes","198","units","0","v79875009","1.15","523","","","","0"
"2009","Canada","2021A000011124","Transportation engineering construction [BS23C10]","Kilotonnes","198","units","0","v79875010","1.16","1357","","","","0"
"2009","Canada","2021A000011124","Oil and gas engineering construction [BS23C20]","Kilotonnes","198","units","0","v79875011","1.17","816","","","","0"
