"REF_DATE","GEO","DGUID","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada (excluding territories)","","Both sexes","Perceived health, excellent or very good","Number of persons","Number","223","units","0","v1663705394","1.1.1.1","1756300","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Perceived health, excellent or very good","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705395","1.1.1.2","1735500","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Perceived health, excellent or very good","High 95% confidence interval, number of persons","Number","223","units","0","v1663705396","1.1.1.3","1776200","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Perceived health, excellent or very good","Percentage","Percent","239","units","0","v1663705397","1.1.1.4","77.4","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Perceived health, excellent or very good","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705398","1.1.1.5","76.5","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Perceived health, excellent or very good","High 95% confidence interval, percentage","Percent","239","units","0","v1663705399","1.1.1.6","78.3","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Perceived health, fair or poor","Number of persons","Number","223","units","0","v1663705400","1.1.2.1","77300","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Perceived health, fair or poor","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705401","1.1.2.2","68500","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Perceived health, fair or poor","High 95% confidence interval, number of persons","Number","223","units","0","v1663705402","1.1.2.3","87000","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Perceived health, fair or poor","Percentage","Percent","239","units","0","v1663705403","1.1.2.4","3.4","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Perceived health, fair or poor","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705404","1.1.2.5","3.0","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Perceived health, fair or poor","High 95% confidence interval, percentage","Percent","239","units","0","v1663705405","1.1.2.6","3.8","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Perceived mental health, excellent or very good","Number of persons","Number","223","units","0","v1663705406","1.1.3.1","1496100","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Perceived mental health, excellent or very good","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705407","1.1.3.2","1471200","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Perceived mental health, excellent or very good","High 95% confidence interval, number of persons","Number","223","units","0","v1663705408","1.1.3.3","1517900","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Perceived mental health, excellent or very good","Percentage","Percent","239","units","0","v1663705409","1.1.3.4","66.2","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Perceived mental health, excellent or very good","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705410","1.1.3.5","65.2","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Perceived mental health, excellent or very good","High 95% confidence interval, percentage","Percent","239","units","0","v1663705411","1.1.3.6","67.2","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Perceived mental health, fair or poor","Number of persons","Number","223","units","0","v1663705412","1.1.4.1","268800","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Perceived mental health, fair or poor","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705413","1.1.4.2","253700","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Perceived mental health, fair or poor","High 95% confidence interval, number of persons","Number","223","units","0","v1663705414","1.1.4.3","284600","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Perceived mental health, fair or poor","Percentage","Percent","239","units","0","v1663705415","1.1.4.4","11.9","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Perceived mental health, fair or poor","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705416","1.1.4.5","11.2","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Perceived mental health, fair or poor","High 95% confidence interval, percentage","Percent","239","units","0","v1663705417","1.1.4.6","12.6","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Youth's perceived life satisfaction, satisfied or very satisfied","Number of persons","Number","223","units","0","v1663705418","1.1.5.1","2050300","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Youth's perceived life satisfaction, satisfied or very satisfied","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705419","1.1.5.2","2036300","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Youth's perceived life satisfaction, satisfied or very satisfied","High 95% confidence interval, number of persons","Number","223","units","0","v1663705420","1.1.5.3","2064700","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Youth's perceived life satisfaction, satisfied or very satisfied","Percentage","Percent","239","units","0","v1663705421","1.1.5.4","90.5","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Youth's perceived life satisfaction, satisfied or very satisfied","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705422","1.1.5.5","89.9","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Youth's perceived life satisfaction, satisfied or very satisfied","High 95% confidence interval, percentage","Percent","239","units","0","v1663705423","1.1.5.6","91.1","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Youth's perceived life stress, quite a bit stressful or extremely stressful","Number of persons","Number","223","units","0","v1663705424","1.1.6.1","456900","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Youth's perceived life stress, quite a bit stressful or extremely stressful","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705425","1.1.6.2","437700","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Youth's perceived life stress, quite a bit stressful or extremely stressful","High 95% confidence interval, number of persons","Number","223","units","0","v1663705426","1.1.6.3","476400","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Youth's perceived life stress, quite a bit stressful or extremely stressful","Percentage","Percent","239","units","0","v1663705427","1.1.6.4","20.2","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Youth's perceived life stress, quite a bit stressful or extremely stressful","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705428","1.1.6.5","19.3","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Youth's perceived life stress, quite a bit stressful or extremely stressful","High 95% confidence interval, percentage","Percent","239","units","0","v1663705429","1.1.6.6","21.1","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Feels alone, often","Number of persons","Number","223","units","0","v1663705430","1.1.7.1","","..","","","0"
"2019","Canada (excluding territories)","","Both sexes","Feels alone, often","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705431","1.1.7.2","","..","","","0"
"2019","Canada (excluding territories)","","Both sexes","Feels alone, often","High 95% confidence interval, number of persons","Number","223","units","0","v1663705432","1.1.7.3","","..","","","0"
"2019","Canada (excluding territories)","","Both sexes","Feels alone, often","Percentage","Percent","239","units","0","v1663705433","1.1.7.4","","..","","","1"
"2019","Canada (excluding territories)","","Both sexes","Feels alone, often","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705434","1.1.7.5","","..","","","1"
"2019","Canada (excluding territories)","","Both sexes","Feels alone, often","High 95% confidence interval, percentage","Percent","239","units","0","v1663705435","1.1.7.6","","..","","","1"
"2019","Canada (excluding territories)","","Both sexes","Smoked daily or occasionally, past 30 days","Number of persons","Number","223","units","0","v1663705436","1.1.8.1","47600","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Smoked daily or occasionally, past 30 days","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705437","1.1.8.2","39200","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Smoked daily or occasionally, past 30 days","High 95% confidence interval, number of persons","Number","223","units","0","v1663705438","1.1.8.3","55200","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Smoked daily or occasionally, past 30 days","Percentage","Percent","239","units","0","v1663705439","1.1.8.4","2.1","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Smoked daily or occasionally, past 30 days","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705440","1.1.8.5","1.8","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Smoked daily or occasionally, past 30 days","High 95% confidence interval, percentage","Percent","239","units","0","v1663705441","1.1.8.6","2.5","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Smoked daily or almost daily, past 30 days","Number of persons","Number","223","units","0","v1663705442","1.1.9.1","17100","","","","0"
