"REF_DATE","GEO","DGUID","Gender","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Experienced discrimination or unfair treatment in Canada","Percentage of persons","Percent","239","units","0","v1589233274","1.1.1.1","35.9","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Experienced discrimination or unfair treatment in Canada","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589233275","1.1.1.2","34.8","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Experienced discrimination or unfair treatment in Canada","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589233276","1.1.1.3","37.0","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Experienced discrimination or unfair treatment in Canada","Number of persons","Number","223","thousands","3","v1589233277","1.1.1.4","11812","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Experienced discrimination or unfair treatment in Canada","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589233278","1.1.1.5","11460","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Experienced discrimination or unfair treatment in Canada","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589233279","1.1.1.6","12163","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Did not experience discrimination or unfair treatment in Canada","Percentage of persons","Percent","239","units","0","v1589233280","1.1.2.1","64.1","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Did not experience discrimination or unfair treatment in Canada","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589233281","1.1.2.2","63.0","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Did not experience discrimination or unfair treatment in Canada","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589233282","1.1.2.3","65.2","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Did not experience discrimination or unfair treatment in Canada","Number of persons","Number","223","thousands","3","v1589233283","1.1.2.4","21099","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Did not experience discrimination or unfair treatment in Canada","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589233284","1.1.2.5","20749","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Did not experience discrimination or unfair treatment in Canada","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589233285","1.1.2.6","21450","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination at work","Percentage of persons","Percent","239","units","0","v1589233286","1.1.3.1","39.9","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination at work","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589233287","1.1.3.2","38.0","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination at work","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589233288","1.1.3.3","41.8","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination at work","Number of persons","Number","223","thousands","3","v1589233289","1.1.3.4","4638","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination at work","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589233290","1.1.3.5","4385","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination at work","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589233291","1.1.3.6","4891","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination at school","Percentage of persons","Percent","239","units","0","v1589233292","1.1.4.1","17.7","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination at school","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589233293","1.1.4.2","16.1","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination at school","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589233294","1.1.4.3","19.3","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination at school","Number of persons","Number","223","thousands","3","v1589233295","1.1.4.4","2054","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination at school","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589233296","1.1.4.5","1850","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination at school","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589233297","1.1.4.6","2258","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination on the Internet","Percentage of persons","Percent","239","units","0","v1589233298","1.1.5.1","18.7","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination on the Internet","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589233299","1.1.5.2","17.1","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination on the Internet","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589233300","1.1.5.3","20.5","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination on the Internet","Number of persons","Number","223","thousands","3","v1589233301","1.1.5.4","2179","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination on the Internet","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589233302","1.1.5.5","1968","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination on the Internet","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589233303","1.1.5.6","2390","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination when interacting with the healthcare system","Percentage of persons","Percent","239","units","0","v1589233304","1.1.6.1","16.7","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination when interacting with the healthcare system","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589233305","1.1.6.2","15.3","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination when interacting with the healthcare system","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589233306","1.1.6.3","18.1","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination when interacting with the healthcare system","Number of persons","Number","223","thousands","3","v1589233307","1.1.6.4","1937","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination when interacting with the healthcare system","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589233308","1.1.6.5","1763","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination when interacting with the healthcare system","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589233309","1.1.6.6","2112","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination in public areas, a store, bank or restaurant","Percentage of persons","Percent","239","units","0","v1589233310","1.1.7.1","48.0","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination in public areas, a store, bank or restaurant","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589233311","1.1.7.2","46.0","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination in public areas, a store, bank or restaurant","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589233312","1.1.7.3","50.0","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination in public areas, a store, bank or restaurant","Number of persons","Number","223","thousands","3","v1589233313","1.1.7.4","5582","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination in public areas, a store, bank or restaurant","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589233314","1.1.7.5","5291","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination in public areas, a store, bank or restaurant","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589233315","1.1.7.6","5873","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination by or among friends or family","Percentage of persons","Percent","239","units","0","v1589233316","1.1.8.1","22.4","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination by or among friends or family","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589233317","1.1.8.2","20.9","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination by or among friends or family","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589233318","1.1.8.3","24.1","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination by or among friends or family","Number of persons","Number","223","thousands","3","v1589233319","1.1.8.4","2610","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination by or among friends or family","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589233320","1.1.8.5","2409","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination by or among friends or family","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589233321","1.1.8.6","2810","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination while using public transit","Percentage of persons","Percent","239","units","0","v1589233322","1.1.9.1","17.5","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination while using public transit","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589233323","1.1.9.2","16.0","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination while using public transit","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589233324","1.1.9.3","19.1","","","","1"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination while using public transit","Number of persons","Number","223","thousands","3","v1589233325","1.1.9.4","2030","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination while using public transit","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589233326","1.1.9.5","1836","","","","0"
"2024-01","Canada (excluding territories)","2021A000011124","Total, all persons","Discrimination while using public transit","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589233327","1.1.9.6","2224","","","","0"
