"REF_DATE","GEO","DGUID","Gender","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Satisfaction with amount of free time rating between 0 and 5","Percentage of persons","Percent","239","units","0","v1427777136","1.1.1.1","27.6","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Satisfaction with amount of free time rating between 0 and 5","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427777137","1.1.1.2","26.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Satisfaction with amount of free time rating between 0 and 5","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427777138","1.1.1.3","28.8","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Satisfaction with amount of free time rating between 0 and 5","Number of persons","Number","223","thousands","3","v1427777139","1.1.1.4","8574","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Satisfaction with amount of free time rating between 0 and 5","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427777140","1.1.1.5","8212","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Satisfaction with amount of free time rating between 0 and 5","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427777141","1.1.1.6","8935","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Satisfaction with amount of free time rating between 0 and 5","Average rating","Number","223","units","0","v1427777142","1.1.1.7","","..","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Satisfaction with amount of free time rating between 0 and 5","Lower bound of the 95% confidence interval, average","Number","223","units","0","v1427777143","1.1.1.8","","..","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Satisfaction with amount of free time rating between 0 and 5","Upper bound of the 95% confidence interval, average","Number","223","units","0","v1427777144","1.1.1.9","","..","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Satisfaction with amount of free time rating of 6 or 7","Percentage of persons","Percent","239","units","0","v1427777145","1.1.2.1","27.3","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Satisfaction with amount of free time rating of 6 or 7","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427777146","1.1.2.2","26.1","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Satisfaction with amount of free time rating of 6 or 7","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427777147","1.1.2.3","28.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Satisfaction with amount of free time rating of 6 or 7","Number of persons","Number","223","thousands","3","v1427777148","1.1.2.4","8457","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Satisfaction with amount of free time rating of 6 or 7","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427777149","1.1.2.5","8089","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Satisfaction with amount of free time rating of 6 or 7","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427777150","1.1.2.6","8825","","","","0"
