"REF_DATE","GEO","DGUID","Gender","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411206","1.1.1.1","47.2","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331411207","1.1.1.2","45.9","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331411208","1.1.1.3","48.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411209","1.1.1.4","14729","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331411210","1.1.1.5","14325","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331411211","1.1.1.6","15133","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411212","1.1.2.1","36.8","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331411213","1.1.2.2","35.6","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331411214","1.1.2.3","38.1","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411215","1.1.2.4","11482","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331411216","1.1.2.5","11092","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331411217","1.1.2.6","11872","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411218","1.1.3.1","16.0","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","No opinion on sense of belonging to local community","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331411219","1.1.3.2","15.0","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","No opinion on sense of belonging to local community","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331411220","1.1.3.3","17.0","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411221","1.1.3.4","4977","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","No opinion on sense of belonging to local community","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331411222","1.1.3.5","4668","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","No opinion on sense of belonging to local community","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331411223","1.1.3.6","5287","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411224","1.2.1.1","47.7","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Very strong or somewhat strong sense of belonging to local community","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331411225","1.2.1.2","45.7","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Very strong or somewhat strong sense of belonging to local community","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331411226","1.2.1.3","49.6","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411227","1.2.1.4","7342","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Very strong or somewhat strong sense of belonging to local community","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331411228","1.2.1.5","7045","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Very strong or somewhat strong sense of belonging to local community","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331411229","1.2.1.6","7639","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411230","1.2.2.1","36.8","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Somewhat weak or very weak sense of belonging to local community","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331411231","1.2.2.2","34.9","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Somewhat weak or very weak sense of belonging to local community","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331411232","1.2.2.3","38.7","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411233","1.2.2.4","5665","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Somewhat weak or very weak sense of belonging to local community","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331411234","1.2.2.5","5374","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Somewhat weak or very weak sense of belonging to local community","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331411235","1.2.2.6","5955","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411236","1.2.3.1","15.6","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","No opinion on sense of belonging to local community","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331411237","1.2.3.2","14.2","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","No opinion on sense of belonging to local community","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331411238","1.2.3.3","17.0","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411239","1.2.3.4","2400","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","No opinion on sense of belonging to local community","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331411240","1.2.3.5","2183","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","No opinion on sense of belonging to local community","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331411241","1.2.3.6","2618","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411242","1.3.1.1","46.8","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Very strong or somewhat strong sense of belonging to local community","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331411243","1.3.1.2","45.0","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Very strong or somewhat strong sense of belonging to local community","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331411244","1.3.1.3","48.6","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411245","1.3.1.4","7387","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Very strong or somewhat strong sense of belonging to local community","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331411246","1.3.1.5","7105","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Very strong or somewhat strong sense of belonging to local community","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331411247","1.3.1.6","7669","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411248","1.3.2.1","36.9","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Somewhat weak or very weak sense of belonging to local community","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331411249","1.3.2.2","35.2","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Somewhat weak or very weak sense of belonging to local community","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331411250","1.3.2.3","38.6","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411251","1.3.2.4","5817","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Somewhat weak or very weak sense of belonging to local community","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331411252","1.3.2.5","5545","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Somewhat weak or very weak sense of belonging to local community","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331411253","1.3.2.6","6089","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411254","1.3.3.1","16.3","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","No opinion on sense of belonging to local community","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331411255","1.3.3.2","15.0","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","No opinion on sense of belonging to local community","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331411256","1.3.3.3","17.7","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","No opinion on sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411257","1.3.3.4","2577","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","No opinion on sense of belonging to local community","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331411258","1.3.3.5","2363","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","No opinion on sense of belonging to local community","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331411259","1.3.3.6","2791","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411260","2.1.1.1","50.8","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331411261","2.1.1.2","47.7","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331411262","2.1.1.3","53.8","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411263","2.1.1.4","1043","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331411264","2.1.1.5","980","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Very strong or somewhat strong sense of belonging to local community","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331411265","2.1.1.6","1106","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411266","2.1.2.1","30.8","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331411267","2.1.2.2","27.9","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331411268","2.1.2.3","33.8","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Number of persons","Number","223","thousands","3","v1331411269","2.1.2.4","632","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331411270","2.1.2.5","572","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Somewhat weak or very weak sense of belonging to local community","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331411271","2.1.2.6","692","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","No opinion on sense of belonging to local community","Percentage of persons","Percent","239","units","0","v1331411272","2.1.3.1","18.5","","","","1"
