"REF_DATE","GEO","DGUID","Gender","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Always or often has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410504","1.1.1.1","75.6","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Always or often has people to depend on when needed","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410505","1.1.1.2","74.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Always or often has people to depend on when needed","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410506","1.1.1.3","76.8","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Always or often has people to depend on when needed","Number of persons","Number","223","thousands","3","v1331410507","1.1.1.4","23569","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Always or often has people to depend on when needed","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410508","1.1.1.5","23206","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Always or often has people to depend on when needed","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410509","1.1.1.6","23932","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Sometimes has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410510","1.1.2.1","17.3","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Sometimes has people to depend on when needed","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410511","1.1.2.2","16.3","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Sometimes has people to depend on when needed","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410512","1.1.2.3","18.3","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Sometimes has people to depend on when needed","Number of persons","Number","223","thousands","3","v1331410513","1.1.2.4","5394","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Sometimes has people to depend on when needed","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410514","1.1.2.5","5087","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Sometimes has people to depend on when needed","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410515","1.1.2.6","5701","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Rarely or never has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410516","1.1.3.1","7.1","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Rarely or never has people to depend on when needed","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410517","1.1.3.2","6.4","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Rarely or never has people to depend on when needed","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410518","1.1.3.3","7.8","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Rarely or never has people to depend on when needed","Number of persons","Number","223","thousands","3","v1331410519","1.1.3.4","2200","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Rarely or never has people to depend on when needed","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410520","1.1.3.5","1981","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Rarely or never has people to depend on when needed","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410521","1.1.3.6","2419","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Always or often has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410522","1.2.1.1","74.6","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Always or often has people to depend on when needed","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410523","1.2.1.2","72.9","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Always or often has people to depend on when needed","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410524","1.2.1.3","76.3","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Always or often has people to depend on when needed","Number of persons","Number","223","thousands","3","v1331410525","1.2.1.4","11477","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Always or often has people to depend on when needed","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410526","1.2.1.5","11211","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Always or often has people to depend on when needed","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410527","1.2.1.6","11744","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Sometimes has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410528","1.2.2.1","17.9","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Sometimes has people to depend on when needed","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410529","1.2.2.2","16.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Sometimes has people to depend on when needed","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410530","1.2.2.3","19.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Sometimes has people to depend on when needed","Number of persons","Number","223","thousands","3","v1331410531","1.2.2.4","2756","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Sometimes has people to depend on when needed","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410532","1.2.2.5","2525","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Sometimes has people to depend on when needed","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410533","1.2.2.6","2987","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Rarely or never has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410534","1.2.3.1","7.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Rarely or never has people to depend on when needed","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410535","1.2.3.2","6.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Rarely or never has people to depend on when needed","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410536","1.2.3.3","8.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Rarely or never has people to depend on when needed","Number of persons","Number","223","thousands","3","v1331410537","1.2.3.4","1149","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Rarely or never has people to depend on when needed","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410538","1.2.3.5","998","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Rarely or never has people to depend on when needed","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410539","1.2.3.6","1299","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Always or often has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410540","1.3.1.1","76.6","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Always or often has people to depend on when needed","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410541","1.3.1.2","75.0","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Always or often has people to depend on when needed","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410542","1.3.1.3","78.2","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Always or often has people to depend on when needed","Number of persons","Number","223","thousands","3","v1331410543","1.3.1.4","12092","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Always or often has people to depend on when needed","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410544","1.3.1.5","11833","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Always or often has people to depend on when needed","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410545","1.3.1.6","12350","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Sometimes has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410546","1.3.2.1","16.7","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Sometimes has people to depend on when needed","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410547","1.3.2.2","15.4","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Sometimes has people to depend on when needed","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410548","1.3.2.3","18.1","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Sometimes has people to depend on when needed","Number of persons","Number","223","thousands","3","v1331410549","1.3.2.4","2637","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Sometimes has people to depend on when needed","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410550","1.3.2.5","2430","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Sometimes has people to depend on when needed","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410551","1.3.2.6","2844","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Rarely or never has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410552","1.3.3.1","6.7","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Rarely or never has people to depend on when needed","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410553","1.3.3.2","5.7","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Rarely or never has people to depend on when needed","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410554","1.3.3.3","7.7","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Rarely or never has people to depend on when needed","Number of persons","Number","223","thousands","3","v1331410555","1.3.3.4","1052","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Rarely or never has people to depend on when needed","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410556","1.3.3.5","897","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Women","Rarely or never has people to depend on when needed","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410557","1.3.3.6","1206","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Always or often has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410558","2.1.1.1","77.8","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Always or often has people to depend on when needed","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410559","2.1.1.2","75.3","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Always or often has people to depend on when needed","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410560","2.1.1.3","80.1","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Always or often has people to depend on when needed","Number of persons","Number","223","thousands","3","v1331410561","2.1.1.4","1599","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Always or often has people to depend on when needed","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410562","2.1.1.5","1548","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Always or often has people to depend on when needed","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410563","2.1.1.6","1650","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Sometimes has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410564","2.1.2.1","15.9","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Sometimes has people to depend on when needed","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410565","2.1.2.2","13.9","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Sometimes has people to depend on when needed","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410566","2.1.2.3","18.1","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Sometimes has people to depend on when needed","Number of persons","Number","223","thousands","3","v1331410567","2.1.2.4","327","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Sometimes has people to depend on when needed","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410568","2.1.2.5","284","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Sometimes has people to depend on when needed","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410569","2.1.2.6","370","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Rarely or never has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410570","2.1.3.1","6.3","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Rarely or never has people to depend on when needed","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410571","2.1.3.2","5.1","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Rarely or never has people to depend on when needed","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410572","2.1.3.3","7.8","","","","1"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Rarely or never has people to depend on when needed","Number of persons","Number","223","thousands","3","v1331410573","2.1.3.4","129","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Rarely or never has people to depend on when needed","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410574","2.1.3.5","102","","","","0"
"2021-07","Atlantic Region","2016A00011","Total, all persons","Rarely or never has people to depend on when needed","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410575","2.1.3.6","157","","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Always or often has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410576","2.2.1.1","77.9","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Always or often has people to depend on when needed","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410577","2.2.1.2","74.1","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Always or often has people to depend on when needed","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410578","2.2.1.3","81.2","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Always or often has people to depend on when needed","Number of persons","Number","223","thousands","3","v1331410579","2.2.1.4","780","","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Always or often has people to depend on when needed","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410580","2.2.1.5","743","","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Always or often has people to depend on when needed","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410581","2.2.1.6","818","","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Sometimes has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410582","2.2.2.1","14.5","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Sometimes has people to depend on when needed","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410583","2.2.2.2","11.8","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Sometimes has people to depend on when needed","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410584","2.2.2.3","17.8","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Sometimes has people to depend on when needed","Number of persons","Number","223","thousands","3","v1331410585","2.2.2.4","146","","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Sometimes has people to depend on when needed","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410586","2.2.2.5","116","","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Sometimes has people to depend on when needed","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410587","2.2.2.6","175","","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Rarely or never has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410588","2.2.3.1","7.6","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Rarely or never has people to depend on when needed","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410589","2.2.3.2","5.7","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Rarely or never has people to depend on when needed","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410590","2.2.3.3","10.1","","","","1"
"2021-07","Atlantic Region","2016A00011","Men","Rarely or never has people to depend on when needed","Number of persons","Number","223","thousands","3","v1331410591","2.2.3.4","76","E","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Rarely or never has people to depend on when needed","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410592","2.2.3.5","54","E","","","0"
"2021-07","Atlantic Region","2016A00011","Men","Rarely or never has people to depend on when needed","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410593","2.2.3.6","98","E","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Always or often has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410594","2.3.1.1","77.7","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Always or often has people to depend on when needed","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410595","2.3.1.2","74.4","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Always or often has people to depend on when needed","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410596","2.3.1.3","80.8","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Always or often has people to depend on when needed","Number of persons","Number","223","thousands","3","v1331410597","2.3.1.4","819","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Always or often has people to depend on when needed","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410598","2.3.1.5","784","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Always or often has people to depend on when needed","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410599","2.3.1.6","853","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Sometimes has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410600","2.3.2.1","17.2","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Sometimes has people to depend on when needed","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410601","2.3.2.2","14.5","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Sometimes has people to depend on when needed","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410602","2.3.2.3","20.4","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Sometimes has people to depend on when needed","Number of persons","Number","223","thousands","3","v1331410603","2.3.2.4","182","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Sometimes has people to depend on when needed","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410604","2.3.2.5","150","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Sometimes has people to depend on when needed","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410605","2.3.2.6","213","","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Rarely or never has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410606","2.3.3.1","5.0","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Rarely or never has people to depend on when needed","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410607","2.3.3.2","3.7","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Rarely or never has people to depend on when needed","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410608","2.3.3.3","6.8","","","","1"
"2021-07","Atlantic Region","2016A00011","Women","Rarely or never has people to depend on when needed","Number of persons","Number","223","thousands","3","v1331410609","2.3.3.4","53","E","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Rarely or never has people to depend on when needed","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410610","2.3.3.5","37","E","","","0"
"2021-07","Atlantic Region","2016A00011","Women","Rarely or never has people to depend on when needed","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410611","2.3.3.6","69","E","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Always or often has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410612","3.1.1.1","77.8","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Always or often has people to depend on when needed","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410613","3.1.1.2","72.6","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Always or often has people to depend on when needed","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410614","3.1.1.3","82.2","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Always or often has people to depend on when needed","Number of persons","Number","223","thousands","3","v1331410615","3.1.1.4","344","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Always or often has people to depend on when needed","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410616","3.1.1.5","323","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Always or often has people to depend on when needed","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331410617","3.1.1.6","365","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Sometimes has people to depend on when needed","Percentage of persons","Percent","239","units","0","v1331410618","3.1.2.1","13.7","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Sometimes has people to depend on when needed","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410619","3.1.2.2","10.3","","","","1"
"2021-07","Newfoundland and Labrador","2016A000210","Total, all persons","Sometimes has people to depend on when needed","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331410620","3.1.2.3","18.1","","","","1"
