"REF_DATE","GEO","DGUID","Gender","Sociodemographic characteristics","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","Total, 15 years and over","People who say that most people can be trusted","Percentage of persons","Percent","239","units","0","v1589230502","1.1.1.1.1","44.8","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","Total, 15 years and over","People who say that most people can be trusted","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230503","1.1.1.1.2","43.5","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","Total, 15 years and over","People who say that most people can be trusted","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230504","1.1.1.1.3","46.1","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","Total, 15 years and over","People who say that most people can be trusted","Number of persons","Number","223","thousands","3","v1589230505","1.1.1.1.4","14694","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","Total, 15 years and over","People who say that most people can be trusted","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230506","1.1.1.1.5","14276","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","Total, 15 years and over","People who say that most people can be trusted","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230507","1.1.1.1.6","15113","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","Total, 15 years and over","People who say that you cannot be too careful in dealing with people","Percentage of persons","Percent","239","units","0","v1589230508","1.1.1.2.1","55.2","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","Total, 15 years and over","People who say that you cannot be too careful in dealing with people","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230509","1.1.1.2.2","53.9","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","Total, 15 years and over","People who say that you cannot be too careful in dealing with people","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230510","1.1.1.2.3","56.5","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","Total, 15 years and over","People who say that you cannot be too careful in dealing with people","Number of persons","Number","223","thousands","3","v1589230511","1.1.1.2.4","18101","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","Total, 15 years and over","People who say that you cannot be too careful in dealing with people","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230512","1.1.1.2.5","17686","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","Total, 15 years and over","People who say that you cannot be too careful in dealing with people","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230513","1.1.1.2.6","18517","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","15 to 24 years","People who say that most people can be trusted","Percentage of persons","Percent","239","units","0","v1589230514","1.1.2.1.1","45.9","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","15 to 24 years","People who say that most people can be trusted","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230515","1.1.2.1.2","41.6","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","15 to 24 years","People who say that most people can be trusted","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230516","1.1.2.1.3","50.2","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","15 to 24 years","People who say that most people can be trusted","Number of persons","Number","223","thousands","3","v1589230517","1.1.2.1.4","2165","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","15 to 24 years","People who say that most people can be trusted","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230518","1.1.2.1.5","1960","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","15 to 24 years","People who say that most people can be trusted","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230519","1.1.2.1.6","2371","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","15 to 24 years","People who say that you cannot be too careful in dealing with people","Percentage of persons","Percent","239","units","0","v1589230520","1.1.2.2.1","54.1","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","15 to 24 years","People who say that you cannot be too careful in dealing with people","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230521","1.1.2.2.2","49.8","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","15 to 24 years","People who say that you cannot be too careful in dealing with people","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230522","1.1.2.2.3","58.4","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","15 to 24 years","People who say that you cannot be too careful in dealing with people","Number of persons","Number","223","thousands","3","v1589230523","1.1.2.2.4","2556","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","15 to 24 years","People who say that you cannot be too careful in dealing with people","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230524","1.1.2.2.5","2351","","","","0"
